identifier,type,id,construction/disused,latitude,longitude,operator,access,opening_hours,network,addr:street,addr:city,addr:postcode,addr:country,phone,website,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:tesla_destination,socket:tesla_destination:current,socket:tesla_destination:output,socket:tesla_destination:voltage,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:current,socket:tesla_supercharger_ccs:output,socket:tesla_supercharger_ccs:voltage,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage
ABF-00008;ABF-00009;ABF-00067 -> ABF-00008,child_point,child/node/12748028227,no,37.090307100000004,-8.243887899999999,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00008;ABF-00009;ABF-00067 -> ABF-00009,child_point,child/node/12748028226,no,37.090307100000004,-8.243887899999999,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00008;ABF-00009;ABF-00067 -> ABF-00067,child_point,child/node/8262596902,no,37.090307100000004,-8.243887899999999,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00011,unassigned_point,node/8269975156,no,37.0917408,-8.2050344,Bluecharge,yes,24/7,Mobi.E,,,,PT,+351 800 450 165,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00012/13 -> ABF-00012,child_point,child/node/12660874660,no,37.12924092494742,-8.282045179125976,Galp Power,yes,24/7,Mobi.E,,Guia,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00012/13 -> ABF-00013,child_point,child/node/7750060613,no,37.12924092494742,-8.282045179125976,Galp Power,yes,24/7,Mobi.E,,Guia,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00024,unassigned_point,node/8200114522,no,37.1187104,-8.2269104,Galp Geste,yes,24/7,Mobi.E,,Albufeira,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ABF-00034 - Euroreboques,unassigned_point,node/9362473164,no,37.1233778,-8.2269373,Luzigás,private,24/7,Mobi.E,,,,PT,+351 808 203 825,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00035,unassigned_point,node/9439257878,no,37.0958492,-8.2551945,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,150,60 kW,1000
ABF-00036,unassigned_point,node/7133557515,no,37.0946707,-8.1774625,Galp Power,customers,24/7,Mobi.E,Estrada das Açoteias,Aldeia das Açoteias,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ABF-00037,unassigned_point,node/7563719576,no,37.0959289,-8.1773163,Galp Power,customers,24/7,Mobi.E,Estrada das Açoteias,Aldeia das Açoteias,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ABF-00038;ABF-00039;ABF-00040 -> ABF-00038,child_point,child/node/12566330577,no,37.088427686869714,-8.165880237772633,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ABF-00038;ABF-00039;ABF-00040 -> ABF-00039,child_point,child/node/12566330578,no,37.088427686869714,-8.165880237772633,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ABF-00038;ABF-00039;ABF-00040 -> ABF-00040,child_point,child/node/9917778738,no,37.088427686869714,-8.165880237772633,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ABF-00042,unassigned_point,node/10031272523,no,37.1033435,-8.233514,Mobiletric,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00043,unassigned_point,node/10282359959,no,37.0930907,-8.1786749,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00044;ABF-00045 -> ABF-00044,child_point,child/node/10282359958,no,37.093005600000005,-8.177021799999999,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00044;ABF-00045 -> ABF-00045,child_point,child/node/12688170625,no,37.093005600000005,-8.177021799999999,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00046,unassigned_point,node/10282359957,no,37.09328,-8.171215,Galp Power,customers,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00050,unassigned_point,node/10740188509,no,37.1266812,-8.2368829,Pit2Charge,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABF-00051,unassigned_point,node/10740139204,no,37.0938464,-8.1944111,Pit2Charge,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,90 kW,1000
ABF-00053,child_point,child/node/10075901097,no,37.127773399999995,-8.281611349999999,CapWatt,yes,08:00-24:00,Mobi.E,,,,PT,+351 220 110 055,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00053,child_point,child/node/12645815690,no,37.127773399999995,-8.281611349999999,CapWatt,yes,08:00-24:00,Mobi.E,,,,PT,+351 220 110 055,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00053,child_point,child/node/12645815691,no,37.127773399999995,-8.281611349999999,CapWatt,yes,08:00-24:00,Mobi.E,,,,PT,+351 220 110 055,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00055,child_point,child/node/12067231658,no,37.12857261008612,-8.28320117382311,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,250,100 kW,1000
ABF-00055,child_point,child/node/12753028066,no,37.12857261008612,-8.28320117382311,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,280,140 kW,500
ABF-00059;ABF-00060 -> ABF-00059,child_point,child/node/11439936369,no,37.090849763423776,-8.212117951642137,Powerdot,customers,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
