identifier,type,id,construction/disused,latitude,longitude,operator,access,opening_hours,network,addr:street,addr:city,addr:postcode,addr:country,phone,website,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:tesla_destination,socket:tesla_destination:current,socket:tesla_destination:output,socket:tesla_destination:voltage,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:current,socket:tesla_supercharger_ccs:output,socket:tesla_supercharger_ccs:voltage,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage
ABF-00001,unassigned_point,node/7159237167,no,37.0968299,-8.2245219,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00011,unassigned_point,node/8269975156,no,37.0917408,-8.2050344,Bluecharge,yes,24/7,Mobi.E,,,,PT,+351 800 450 165,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00012/13 -> ABF-00012,child_point,child/node/12660874660,no,37.12924092494742,-8.282045179125976,Galp Power,yes,24/7,Mobi.E,,Guia,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00012/13 -> ABF-00013,child_point,child/node/7750060613,no,37.12924092494742,-8.282045179125976,Galp Power,yes,24/7,Mobi.E,,Guia,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00024,unassigned_point,node/8200114522,no,37.1187104,-8.2269104,Galp Geste,yes,24/7,Mobi.E,,Albufeira,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ABF-00035,unassigned_point,node/9439257878,no,37.0958492,-8.2551945,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,150,60 kW,1000
ABF-00042,unassigned_point,node/10031272523,no,37.1033435,-8.233514,Mobiletric,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00050,unassigned_point,node/10740188509,no,37.1266812,-8.2368829,Pit2Charge,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABF-00051,unassigned_point,node/10740139204,no,37.0938464,-8.1944111,Pit2Charge,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,90 kW,1000
ABF-00053,child_point,child/node/10075901097,no,37.127773399999995,-8.281611349999999,CapWatt,yes,08:00-24:00,Mobi.E,,,,PT,+351 220 110 055,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00053,child_point,child/node/12645815690,no,37.127773399999995,-8.281611349999999,CapWatt,yes,08:00-24:00,Mobi.E,,,,PT,+351 220 110 055,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00053,child_point,child/node/12645815691,no,37.127773399999995,-8.281611349999999,CapWatt,yes,08:00-24:00,Mobi.E,,,,PT,+351 220 110 055,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00055,child_point,child/node/12067231658,no,37.12857261008612,-8.28320117382311,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,250,100 kW,1000
ABF-00055,child_point,child/node/12753028066,no,37.12857261008612,-8.28320117382311,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,280,140 kW,500
ABF-00061,unassigned_point,node/10948894573,no,37.1038104,-8.1938471,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABF-00073,unassigned_point,node/11293800150,no,37.0921,-8.2412222,Atlante,yes,08:00-22:00,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,150,60 kW,500
