identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,evse_id,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
LSB-90016,way,way/731556033,Powerdot,6,0.0,yes,,24/7,Mobi.E,6,22.2,no,0,0.0,22.2,,,,,,6,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/5608875987,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,PT*HRZ*E*LSB*90016*5;PT*HRZ*E*LSB*90016*6,,,,,2,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/12670417614,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,PT*HRZ*E*LSB*90016*1;PT*HRZ*E*LSB*90016*2,,,,,2,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/12670417615,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,PT*HRZ*E*LSB*90016*3;PT*HRZ*E*LSB*90016*4,,,,,2,3.7,,,,
VFR-00096,way,way/1208634756,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,,1,50.0,,,,,1,43.0,1,50.0
VFR-00096 / VFR-00096,child_point,child/node/12670369279,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*EVFR*00096*01;PT*GLP*EVFR*00096*02;PT*GLP*EVFR*00096*03,1,50.0,,,,,1,43.0,1,50.0
VFR-00043,way,way/1211961490,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-00043 / VFR-00043,child_point,child/node/12580289957,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVFR*00043*01;PT*GLP*EVFR*00043*02,,,,,2,22.0,,,,
VFR-00075,way,way/1211961517,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,,1,49.0,,,,,1,22.0,1,49.0
VFR-00075 / VFR-00075,child_point,child/node/12583091687,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,PT*GLP*EVFR*00075*01;PT*GLP*EVFR*00075*02;PT*GLP*EVFR*00075*03,1,49.0,,,,,1,22.0,1,49.0
